"","County","conf_covid_admit_last_7_d","population","hsa_cdc","total_adm_hhs","total_pop","rate"
"1","Conejos",0,7439,731,7,46083,15
"2","Costilla",0,3486,731,7,46083,15
"3","Ouray",0,4881,761,8,104656,8
"4","San Miguel",0,8063,761,8,104656,8
"5","Delta",5,31159,761,8,104656,8
"6","Mesa",27,155910,711,34,297151,11
"7","Montrose",3,42815,761,8,104656,8
"8","Garfield",2,61720,711,34,297151,11
"9","Rio Blanco",5,6534,711,34,297151,11
"10","Hinsdale",0,795,761,8,104656,8
"11","Mineral",0,860,731,7,46083,15
"12","Rio Grande",3,11555,731,7,46083,15
"13","Saguache",0,6414,731,7,46083,15
"14","Chaffee",0,19514,786,0,26931,0
"15","Gunnison",0,16943,761,8,104656,8
"16","Alamosa",4,16329,731,7,46083,15
"17","Custer",0,4713,812,2,53600,4
"18","Fremont",2,48887,812,2,53600,4
"19","Huerfano",0,6805,704,24,189793,13
"20","Teller",0,24777,754,44,770898,6
"21","Eagle",0,55624,711,34,297151,11
"22","Lake",0,7417,786,0,26931,0
"23","Pitkin",0,17363,711,34,297151,11
"24","Routt",0,24842,735,6,38130,16
"25","Clear Creek",0,9392,688,191,2941095,6
"26","Park",0,17427,688,191,2941095,6
"27","Summit",1,31017,688,191,2941095,6
"28","Douglas",22,360034,688,191,2941095,6
"29","Jefferson",26,582780,688,191,2941095,6
"30","Boulder",26,330859,795,29,405328,7
"31","Broomfield",3,74469,795,29,405328,7
"32","Gilpin",0,5799,688,191,2941095,6
"33","Grand",2,15709,688,191,2941095,6
"34","Moffat",6,13288,735,6,38130,16
"35","Larimer",35,359698,796,35,359698,10
"36","Bent",0,5588,745,3,43583,7
"37","Cheyenne",0,1743,754,44,770898,6
"38","Crowley",0,5845,745,3,43583,7
"39","El Paso",44,731640,754,44,770898,6
"40","Kiowa",1,1461,745,3,43583,7
"41","Las Animas",0,14559,704,24,189793,13
"42","Otero",2,18674,745,3,43583,7
"43","Prowers",0,12015,745,3,43583,7
"44","Pueblo",24,168429,704,24,189793,13
"45","Arapahoe",40,655047,688,191,2941095,6
"46","Denver",50,717627,688,191,2941095,6
"47","Elbert",0,26187,688,191,2941095,6
"48","Lincoln",0,5661,754,44,770898,6
"49","Adams",50,520076,688,191,2941095,6
"50","Morgan",7,29101,760,34,375115,9
"51","Weld",27,331186,760,34,375115,9
"52","Kit Carson",0,7077,754,44,770898,6
"53","Phillips",0,4527,763,4,28342,14
"54","Washington",0,4829,760,34,375115,9
"55","Yuma",0,9999,760,34,375115,9
"56","Logan",4,21406,763,4,28342,14
"57","Sedgwick",0,2409,763,4,28342,14
